Age_Group_14-18,Age_Group_19-24,Age_Group_25-36,Age_Group_37-45,Age_Group_45+,Skin_Type_Combination,Skin_Type_Dry,Skin_Type_Normal,Skin_Type_Oily,Skin_Subtype_Dry to Normal,Skin_Subtype_Extreme Dry,Skin_Subtype_Extreme Oily,Skin_Subtype_Normal to Dry,Skin_Subtype_Normal to Oily,Skin_Subtype_Oily to Normal,Skin_Subtype_T-Zone Dry Cheeks Oily,Skin_Subtype_T-Zone Oily Cheeks Dry,Sensitivity_No,Sensitivity_Yes,Concern_Acne,Concern_Dark Circles,Concern_Dark Spots,Concern_Dullness,Concern_Hyperpigmentation,Concern_Open Pores,Concern_Redness,Concern_Sun Tan,Concern_Whiteheads / Blackheads,Concern_Wrinkles,Internal_Type_Comedonal,Internal_Type_Cystic,Internal_Type_Fungal,Internal_Type_General,Internal_Type_Inflammatory,Internal_Type_Pigmented,Internal_Type_Vascular,conc_zinc_pca,conc_benzoyl_peroxide,conc_salicylic_acid,conc_niacinamide,conc_azelaic_acid,conc_hyaluronic_acid,conc_caffeine,conc_vitamin_c,conc_alpha_arbutin,conc_lactic_acid,conc_green_tea_extract,conc_chamomile_extract,conc_aloe_vera,conc_glycolic_acid,conc_licorice_extract,conc_kojic_acid,conc_tranexamic_acid,conc_clay,conc_centella_asiatica,conc_willow_bark_extract,conc_coenzyme_q10,conc_peptides,conc_retinol,ing_tfidf_0,ing_tfidf_1,ing_tfidf_2,ing_tfidf_3,ing_tfidf_4,ing_tfidf_5,ing_tfidf_6,ing_tfidf_7,ing_tfidf_8,ing_tfidf_9,ing_tfidf_10,ing_tfidf_11,ing_tfidf_12,ing_tfidf_13,ing_tfidf_14,ing_tfidf_15,ing_tfidf_16,ing_tfidf_17,ing_tfidf_18,ing_tfidf_19,ing_tfidf_20,ing_tfidf_21,ing_tfidf_22,ing_tfidf_23,ing_tfidf_24,ing_tfidf_25,ing_tfidf_26,ing_tfidf_27,ing_tfidf_28,ing_tfidf_29,ing_tfidf_30,ing_tfidf_31,ing_tfidf_32,ing_tfidf_33,ing_tfidf_34,ing_tfidf_35,ing_tfidf_36,ing_tfidf_37,ing_tfidf_38,ing_tfidf_39,ing_tfidf_40,ing_tfidf_41,ing_tfidf_42,ing_tfidf_43,ing_tfidf_44,ing_tfidf_45,ing_tfidf_46,ing_tfidf_47,ing_tfidf_48,ing_tfidf_49,eff_tfidf_0,eff_tfidf_1,eff_tfidf_2,eff_tfidf_3,eff_tfidf_4,eff_tfidf_5,eff_tfidf_6,eff_tfidf_7,eff_tfidf_8,eff_tfidf_9,eff_tfidf_10,eff_tfidf_11,eff_tfidf_12,eff_tfidf_13,eff_tfidf_14,eff_tfidf_15,eff_tfidf_16,eff_tfidf_17,eff_tfidf_18,eff_tfidf_19,eff_tfidf_20,eff_tfidf_21,eff_tfidf_22,eff_tfidf_23,eff_tfidf_24,eff_tfidf_25,eff_tfidf_26,eff_tfidf_27,eff_tfidf_28,eff_tfidf_29,eff_tfidf_30,eff_tfidf_31,eff_tfidf_32,eff_tfidf_33,eff_tfidf_34,eff_tfidf_35,eff_tfidf_36,eff_tfidf_37,eff_tfidf_38,eff_tfidf_39,eff_tfidf_40,eff_tfidf_41,eff_tfidf_42,eff_tfidf_43,eff_tfidf_44,eff_tfidf_45,eff_tfidf_46,eff_tfidf_47,eff_tfidf_48,eff_tfidf_49
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1.081843733,1.762558042,0.421753796,-0.992522224,-0.419963905,-0.290362598,-0.360792938,-0.536737237,-0.334551626,-0.147586046,-0.511933294,-0.158806496,-0.21847453,-0.164744443,-0.436946244,-0.227251386,-0.229415734,-0.152943823,-0.184151504,-0.161151074,-0.146537899,-0.124389759,-0.105159174,0.184922574,0,0,0,0,0,0,0,0,0,0,0,0,0.372803438,0.372803438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34423808,0.372803438,0,0.310931554,0.310931554,0,0,0,0,0,0,0,0.34423808,0.34423808,0.273232468,0.118710807,0,0,0,0,0,0.289921065,0,0,0,0,0,0,0,0,0,0,0.27840327,0.27840327,0,0,0,0,0,0,0,0,0,0.27840327,0,0.269402755,0.289921065,0.272456578,0,0,0,0,0,0,0,0.289921065,0.289921065,0.166104922,0,0,0,0,0.289921065,0.289921065
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1.081843733,4.970681021,-0.437871775,-0.577705861,-0.419963905,-0.290362598,-0.360792938,-0.536737237,-0.334551626,-0.147586046,-0.511933294,-0.158806496,-0.21847453,-0.164744443,-0.436946244,-0.227251386,-0.229415734,-0.152943823,-0.184151504,-0.161151074,-0.146537899,-0.124389759,-0.105159174,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413756554,0.413756554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220278242,0.382053241,0.413756554,0,0,0,0,0,0,0,0,0,0,0.382053241,0.382053241,0.3874821,0.168348635,0,0,0,0,0.262446593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262446593,0.262446593,0,0,0,0,0,0,0,0,0.386381779,0,0,0.192358621,0.262446593,0,0.262446593,0.262446593,0,0,0.47112032,0,0,0,0,0,0
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,5.31054888,-0.376190611,0.421753796,-0.992522224,0.164696845,-0.290362598,-0.360792938,-0.536737237,-0.334551626,-0.147586046,-0.511933294,-0.158806496,-0.21847453,-0.164744443,-0.436946244,-0.227251386,-0.229415734,-0.152943823,-0.184151504,-0.161151074,-0.146537899,-0.124389759,-0.105159174,0.385394568,0,0,0,0,0,0,0,0,0,0,0.357416584,0.357416584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3587109,0,0,0.324004065,0.324004065,0,0,0,0,0,0,0,0.3587109,0.3587109,0.241156832,0.209549929,0,0,0.232902568,0,0,0.255886301,0,0,0,0,0,0,0,0,0,0,0.245720617,0.245720617,0,0.206394867,0.244295085,0,0,0,0,0,0,0.245720617,0,0.237776701,0.255886301,0.240472026,0,0,0.119718035,0,0,0,0,0.255886301,0.255886301,0.146605332,0.131213297,0,0,0,0.255886301,0.255886301
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-0.327724649,2.297245205,-0.437871775,1.081559594,2.503339849,-0.290362598,-0.360792938,-0.536737237,-0.334551626,-0.147586046,-0.511933294,-0.158806496,-0.21847453,-0.164744443,-0.436946244,-0.227251386,-0.229415734,-0.152943823,-0.184151504,-0.161151074,-0.146537899,-0.124389759,-0.105159174,0.217056558,0,0,0,0,0,0,0,0,0,0,0.402598375,0.402598375,0.437585467,0.437585467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.232964425,0,0.437585467,0,0,0,0,0,0,0,0,0,0,0,0,0.580984058,0.252419074,0,0,0.280549131,0,0.196753975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248618558,0.294272298,0.196753975,0.196753975,0,0,0,0,0,0,0,0,0,0,0,0.288419238,0.196753975,0,0.196753975,0.196753975,0,0,0.176597445,0.158056551,0,0,0,0,0
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,-0.327724649,-0.376190611,-0.437871775,-0.992522224,-0.419963905,1.240739612,2.771672878,1.891153335,-0.334551626,-0.147586046,-0.511933294,-0.158806496,-0.21847453,-0.164744443,-0.436946244,-0.227251386,-0.229415734,-0.152943823,-0.184151504,-0.161151074,-0.146537899,-0.124389759,-0.105159174,0.247675101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537886004,0,0,0,0,0,0,0,0,0,0,0,0.489159551,0.489159551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.413257254,0,0,0,0,0.361587156,0,0,0.267922074,0.272766242,0,0,0,0,0,0,0,0.292108722,0.292108722,0,0,0,0,0,0.291219205,0.237428644,0,0,0,0,0,0,0,0,0.271254887,0,0,0,0,0,0.27543796,0,0.292108722,0,0,0,0,0,0.301885368,0.292108722,0,0,0,0
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,-0.327724649,-0.376190611,-0.437871775,1.081559594,-0.419963905,-0.290362598,2.771672878,1.891153335,-0.334551626,-0.147586046,-0.511933294,-0.158806496,-0.21847453,-0.164744443,-0.436946244,-0.227251386,-0.229415734,-0.152943823,-0.184151504,-0.161151074,-0.146537899,-0.124389759,-0.105159174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52955381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261709143,0,0,0,0,0,0,0,0,0,0,0.406855638,0.696813875,0,0,0,0.332593225,0,0,0.246438694,0.250894432,0.172831733,0,0,0,0,0,0,0.268685932,0.268685932,0,0,0,0,0,0,0.218390385,0,0.172831733,0.172831733,0,0,0,0,0,0.249504264,0,0,0,0,0,0.380027876,0.172831733,0.268685932,0.172831733,0.172831733,0,0,0.155125926,0.138839317,0.268685932,0,0,0,0
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-0.327724649,-0.376190611,-0.437871775,1.081559594,-0.419963905,-0.290362598,-0.360792938,1.891153335,2.05968365,-0.147586046,-0.511933294,-0.158806496,-0.21847453,-0.164744443,-0.436946244,-0.227251386,-0.229415734,-0.152943823,-0.184151504,-0.161151074,-0.146537899,-0.124389759,-0.105159174,0,0,0,0,0,0,0,0.50535207,0.50535207,0.50535207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261616683,0,0,0,0,0,0,0,0,0,0,0.406711898,0,0,0,0,0.317756167,0,0,0,0.239701975,0.165121671,0,0,0,0,0,0,0.256699792,0.256699792,0.24913095,0.24913095,0,0,0,0,0,0,0.165121671,0.165121671,0,0,0,0,0,0.238373823,0,0,0,0,0,0.363074748,0.165121671,0.256699792,0.165121671,0.165121671,0,0,0.148205723,0.132645664,0.256699792,0.24913095,0,0,0
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-0.327724649,-0.376190611,-0.437871775,-0.992522224,-0.419963905,-0.290362598,-0.360792938,1.891153335,-0.334551626,3.136447826,0.183054935,-0.158806496,-0.21847453,-0.164744443,-0.436946244,-0.227251386,-0.229415734,-0.152943823,-0.184151504,-0.161151074,-0.146537899,-0.124389759,-0.105159174,0.161772687,0.404018488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186118943,0,0,0,0.260440629,0.260440629,0,0,0,0,0.46464047,0.46464047,0,0,0,0,0,0,0,0,0.260440629,0.260440629,0,0,0,0.269925141,0,0,0,0,0.277222867,0.216085675,0,0.205411404,0.209125347,0,0,0.216085675,0.216085675,0.201840977,0.216085675,0.216085675,0.223954906,0.223954906,0,0,0,0,0,0,0.182032597,0.21545918,0,0,0.216085675,0.216085675,0,0,0,0.207966616,0,0,0,0.201840977,0.201840977,0.105586855,0,0.223954906,0,0,0,0,0,0.231450497,0.223954906,0,0,0,0
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-0.327724649,-0.376190611,-0.437871775,1.081559594,-0.419963905,-0.290362598,-0.360792938,1.891153335,2.05968365,-0.147586046,-0.511933294,-0.158806496,-0.21847453,-0.164744443,-0.436946244,-0.227251386,-0.229415734,-0.152943823,-0.184151504,-0.161151074,-0.146537899,-0.124389759,-0.105159174,0,0,0,0,0,0,0,0.414668094,0.414668094,0.414668094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.214670321,0,0,0,0,0,0,0,0,0,0,0.333728617,0.571570624,0,0,0,0.317756167,0,0,0,0.239701975,0.165121671,0,0,0,0,0,0,0.256699792,0.256699792,0.24913095,0.24913095,0,0,0,0,0,0,0.165121671,0.165121671,0,0,0,0,0,0.238373823,0,0,0,0,0,0.363074748,0.165121671,0.256699792,0.165121671,0.165121671,0,0,0.148205723,0.132645664,0.256699792,0.24913095,0,0,0
TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,-0.327724649,-0.376190611,1.281379366,-0.992522224,2.503339849,-0.290362598,-0.360792938,-0.536737237,-0.334551626,-0.147586046,1.573031394,-0.158806496,-0.21847453,-0.164744443,-0.436946244,-0.227251386,-0.229415734,-0.152943823,-0.184151504,-0.161151074,-0.146537899,-0.124389759,-0.105159174,0.340684596,0.425420625,0,0,0,0,0,0,0,0,0,0.315952363,0.315952363,0,0,0,0,0,0,0,0,0.195978252,0,0,0,0.274236992,0.274236992,0,0,0,0,0,0,0,0,0,0,0,0,0.286416061,0.286416061,0.274236992,0.274236992,0,0,0,0,0,0,0,0.193521779,0.252237153,0.196610172,0,0.186897958,0,0,0.205341776,0.196610172,0.196610172,0.183649329,0.196610172,0.196610172,0,0,0,0,0,0.197184093,0.197184093,0,0.165626251,0.196040142,0,0,0.196610172,0.196610172,0,0,0.197184093,0,0.190809317,0.205341776,0,0.183649329,0.183649329,0.096070457,0,0,0,0,0.205341776,0.205341776,0,0.105295092,0,0,0,0.205341776,0.205341776
